product_name,price,description,category,manufacturer,color,size,dimensions,image_url
Stylish Summer Dress,49.99,"Elegant floral print, lightweight fabric, perfect for summer",Clothing,Fashionista,Floral,"S, M, L",30 x 20 x 5 cm,https://lipsum.app/400x600
Classic Blue Jeans,79.99,"Classic blue jeans, straight leg, comfortable fit",Clothing,DenimCo,Blue,"28, 30, 32, 34",30 x 25 x 7 cm,https://lipsum.app/300x400
Leather Ankle Boots,99.99,Genuine leather ankle boots with side zipper,Footwear,LeatherCraft,Brown,"7, 8, 9, 10",25 x 20 x 10 cm,https://lipsum.app/300x300
Summer Maxi Dress,69.99,Flowy maxi dress with adjustable straps,Clothing,BohoChic,Red,"S, M, L, XL",35 x 25 x 5 cm,https://lipsum.app/400x600
Men's Casual Shirt,39.99,"Short-sleeve casual shirt, button-down",Clothing,UrbanStyle,Navy,"M, L, XL, XXL",30 x 20 x 4 cm,https://lipsum.app/300x400
Women's Running Shoes,89.99,Lightweight running shoes with breathable mesh,Footwear,ActiveFit,Pink,"6, 7, 8, 9",30 x 20 x 12 cm,https://lipsum.app/300x200
Denim Jacket,59.99,Classic denim jacket with button closure,Clothing,DenimCo,Blue,"S, M, L, XL",35 x 30 x 8 cm,https://lipsum.app/400x500
High Heels,79.99,Elegant high heels with pointed toe,Footwear,GlamourShoes,Black,"5, 6, 7, 8",20 x 15 x 10 cm,https://lipsum.app/250x300
Striped T-Shirt,29.99,"Classic striped t-shirt, round neck",Clothing,BasicWear,Black/White,"S, M, L, XL",25 x 15 x 3 cm,https://lipsum.app/250x250
Men's Dress Shoes,129.99,"Genuine leather dress shoes, lace-up",Footwear,FormalElegance,Black,"8, 9, 10, 11",30 x 20 x 10 cm,https://lipsum.app/300x300
Floral Print Blouse,39.99,Floral print blouse with V-neck,Clothing,ChicStyle,Floral,"S, M, L",25 x 15 x 4 cm,https://lipsum.app/300x250
Ankle Boots Suede,89.99,Suede ankle boots with buckle detail,Footwear,BohoChic,Beige,"6, 7, 8, 9",25 x 20 x 10 cm,https://lipsum.app/300x300
Men's Chinos,49.99,"Slim fit chinos, cotton blend",Clothing,UrbanStyle,Khaki,"30, 32, 34, 36",30 x 25 x 7 cm,https://lipsum.app/300x400
Women's Sandals,49.99,Leather sandals with adjustable straps,Footwear,SummerFeet,Brown,"5, 6, 7, 8",20 x 15 x 8 cm,https://lipsum.app/250x200
Knit Sweater,59.99,Soft knit sweater with round neck,Clothing,CozyKnits,Gray,"S, M, L, XL",30 x 20 x 6 cm,https://lipsum.app/250x200
Men's Loafers,99.99,Leather loafers with slip-on design,Footwear,FormalElegance,Brown,"7, 8, 9, 10",25 x 15 x 10 cm,https://lipsum.app/300x300
Wrap Dress,69.99,Elegant wrap dress with tie waist,Clothing,ChicStyle,Navy,"S, M, L, XL",30 x 25 x 5 cm,https://lipsum.app/400x600
Running Shoes Lightweight,79.99,Lightweight running shoes with breathable mesh,Footwear,ActiveFit,Black,"6, 7, 8, 9",30 x 20 x 12 cm,https://lipsum.app/300x200
Polo Shirt,39.99,Classic polo shirt with short sleeves,Clothing,BasicWear,White,"M, L, XL, XXL",25 x 15 x 4 cm,https://lipsum.app/300x300
